period,orders,customers,revenue,revenue_growth_pct,order_growth_pct,avg_order_value
2016-09,1,1,143.46,,,143.46
2016-10,265,265,46490.66,32306.705701937823,26400.0,175.4364528301887
2016-12,1,1,19.62,-99.95779797490508,-99.62264150943396,19.62
2017-01,750,750,127482.37,649657.237512742,74900.0,169.97649333333334
2017-02,1653,1653,271239.32,112.76614170257426,120.40000000000002,164.08912280701756
2017-03,2546,2546,414330.95,52.754751781563236,54.022988505747115,162.73800078554595
2017-04,2303,2303,390812.4,-5.676271589172854,-9.544383346425766,169.6970907511941
2017-05,3546,3546,566851.4,45.04437423172858,53.97307859313938,159.85657078398197
2017-06,3135,3135,490050.37,-13.548706062999937,-11.590524534686974,156.31590749601276
2017-07,3872,3872,566299.08,15.55936178560582,23.50877192982457,146.2549276859504
2017-08,4193,4193,645832.36,14.044395057113634,8.290289256198346,154.02632005723825
2017-09,4150,4150,701077.49,8.554097537014105,-1.0255187216789863,168.93433493975903
2017-10,4478,4478,751117.01,7.137516282258627,7.9036144578313205,167.73492853952658
2017-11,7289,7289,1153364.2,53.553199387669295,62.77355962483251,158.23352997667718
2017-12,5513,5513,843078.29,-26.902682604506012,-24.365482233502533,152.92550154181026
2018-01,7069,7069,1077887.46,27.851407489095692,28.224197351714132,152.48089687367377
2018-02,6555,6555,966168.41,-10.364630274110432,-7.271184043004664,147.39411289092297
2018-03,7003,7003,1120598.24,15.983738280161731,6.83447749809305,160.01688419248893
2018-04,6798,6798,1132878.93,1.0959048088456713,-2.927316864201057,166.64885701676963
2018-05,6749,6749,1128774.52,-0.3622990852164554,-0.7208002353633391,167.2506326863239
2018-06,6099,6099,1011978.29,-10.347171018707968,-9.631056452807819,165.9252811936383
2018-07,6159,6159,1027807.28,1.5641630019552988,0.9837678307919262,166.8789219029063
2018-08,6351,6351,985491.64,-4.117079225202613,3.117389186556263,155.17109746496615
